Character name,Allegiance,Culture,Birthyear,Deathyear,Gender,DeadAlive,POV,categories
Abelar_Hightower,##House Hightower#,,NULL,NULL,M,D,N/A,House Hightower#Characters from the Reach#Nobles#
Addam,,,NULL,NULL,M,D,N/A,Knights#Characters from Westeros#
Addam_Frey,##House Frey#,,NULL,NULL,,,,House Frey#Characters from the Riverlands#Nobles#
Addam_Marbrand,##House Marbrand#[3]#,,NULL,NULL,M,A,Tyrion Lannister,House Marbrand#Characters from the Westerlands#Knights#Members of the City Watch (King's Landing)#Nobles#
Addam_Osgrey,##House Osgrey#[1]#,,184,196,,,,House Osgrey#Characters from the Reach#Nobles#Squires#
Addam_Velaryon,##House Velaryon#House Targaryen#The blacks#,##Valyrian#,114,130,,,,House Velaryon#Bastards#Dragonseeds#Characters from the Crownlands#Dragonriders#Knights#Nobles#Legitimized bastards#
Addison_Hill,##House Swyft#[1]#Kingsguard#[2]#,,NULL,NULL,M,,Jaime Lannister,House Swyft#Bastards#Characters from the Westerlands#Members of the Kingsguard#Lords Commander of the Kingsguard#
Aegon_Blackfyre,##House Blackfyre#[1]#,,184,196,,,,House Blackfyre#Characters from the Crownlands#Nobles#
Aegon_Frey_(Jinglebell),##House Frey#[1]#,,249,299,,,,Characters from the Riverlands#House Frey#Lackwits#Jesters#Nobles#
Aegon_Frey_(Bloodborn),##House Frey#[1]#,,272,NULL,,,,Characters from the Riverlands#House Frey#Nobles#Outlaws#
Aegon_I_Targaryen,,,NULL,NULL,M,D,Daenerys Targaryen,Articles with unsourced statements#House Targaryen#Characters from the Crownlands#Dragonriders#King's Landing#Monarchs#Nobles#
Aegon_II_Targaryen,,,NULL,NULL,M,D,N/A,House Targaryen#Characters from the Crownlands#Dragonriders#Kinslayers#Monarchs#Nobles#
Aegon_III_Targaryen,,##Valyrian#,NULL,NULL,M,D,Daenerys Targaryen,House Targaryen#Characters from the Crownlands#Dragonriders#Monarchs#Nobles#The Blacks#
Aegon_IV_Targaryen,,,NULL,NULL,,,,House Targaryen#Characters from the Crownlands#Monarchs#Nobles#
Aegon_V_Targaryen,,,NULL,NULL,M,D,Eddard Stark,Nobles#Monarchs#House Targaryen#Squires#Characters from the Crownlands#
Aegon_Targaryen_(son_of_Rhaegar),##House Targaryen#,##Valyrian#,282,283,,,,House Targaryen#Characters from the Crownlands#Monarchs#Claimants to the Iron Throne#Nobles#
Aegon_Targaryen_(son_of_Aenys_I),##House Targaryen#,##Valyrian#,NULL,NULL,,,,House Targaryen#Characters from the Crownlands#Dragonriders#Nobles#
Aegon_Targaryen_(son_of_Baelon),##House Targaryen#,#Valyrian#,NULL,NULL,,,,Nobles#Characters from the Crownlands#House Targaryen#
Aegor_Rivers,##House Bracken#House Blackfyre#Second Sons#Golden Company#,,172,241,M,,Tyrion Lannister,House Bracken#House Targaryen#Bastards#Legitimized bastards#Characters from the Riverlands#Golden Company#Great Bastards#Knights#Mercenaries#Nobles#Second Sons#Exiles#
Aelinor_Penrose,##House Penrose#House Targaryen#,##Valyrian#,NULL,NULL,,,,House Penrose#House Targaryen#Noblewomen#Characters from the Stormlands#Royal Consorts#
Aemma_Arryn,##House Arryn#House Targaryen#,,NULL,105,F,D,N/A,House Arryn#House Targaryen#Characters from the Vale#Noblewomen#Royal Consorts#
Aemon_Blackfyre,##House Blackfyre#,,184,196,,,,House Blackfyre#Nobles#Characters from the Crownlands#
Aemon_Costayne,##House Costayne#,,NULL,NULL,M,,Tyrion Lannister,House Costayne#Nobles#Characters from the Reach#Singers#
Aemon_Estermont,##House Estermont#,,NULL,NULL,M,,N/A,Nobles#Characters from the Stormlands#House Estermont#Knights#
